Vmag,Plx,B-V,SpType
6.2,17.86,0.459,F2III
9.12,3.79,0.58,F2III
8.12,5.69,0.353,F2III/IV
8.06,4.15,0.402,F2III/IV
8.5,5.07,0.406,F2III/IV
2.28,59.89,0.38,F2III-IV
6.38,15,0.307,F2IV
8.19,9.22,0.352,F2IV
8.05,7.6,0.364,F2IV
8.65,4.93,0.37,F2IV
6.75,13.13,0.371,F2IV
7.07,8.08,0.385,F2IV
8.34,6.18,0.386,F2IV
6.19,25.59,0.386,F2IV
5.29,36.46,0.395,F2IV
8.75,5.83,0.401,F2IV
7.31,6.73,0.402,F2IV
9.02,4.72,0.405,F2IV
8.63,6.1,0.41,F2IV
8.74,3.12,0.349,F2IV/V
8.07,11.54,0.365,F2IV/V
6.91,16.79,0.378,F2IV/V
7.37,13.23,0.379,F2IV/V
9.25,5.73,0.385,F2IV/V
8.14,6.54,0.388,F2IV/V
8.29,6.38,0.408,F2IV/V
8.4,0.8,0.413,F2IV/V
8.58,7.86,0.417,F2IV/V
8.22,4.29,0.419,F2IV/V
7.62,15.02,0.42,F2IV/V
9.68,6.87,0.455,F2IV/V
9.95,2.69,0.456,F2IV/V
9.11,1.74,0.46,F2IV/V
8.41,6.09,0.2,F2V
7.79,5.54,0.334,F2V
5.69,16.13,0.335,F2V
9.98,-1.96,0.343,F2V
8.22,5.09,0.352,F2V
6.96,15.84,0.353,F2V
9.54,7.24,0.36,F2V
7.36,12.53,0.36,F2V
8.7,5.08,0.366,F2V
6.38,23.16,0.366,F2V
5.67,22.19,0.367,F2V
7.46,11.74,0.368,F2V
6.91,16.71,0.368,F2V
7.17,10.38,0.375,F2V
6.03,24.72,0.382,F2V
9.78,2.95,0.384,F2V
6.45,21.17,0.386,F2V
8.69,6.26,0.387,F2V
8.62,7.29,0.387,F2V
8.3,8.68,0.389,F2V
7.83,10.96,0.389,F2V
8.66,4.01,0.391,F2V
7.91,10.93,0.392,F2V
9.84,6.44,0.395,F2V
10.34,3.51,0.396,F2V
7.98,11.12,0.396,F2V
9.84,1.04,0.398,F2V
9.41,1.73,0.4,F2V
8.74,4.71,0.4,F2V
9.14,2.64,0.401,F2V
8.55,8.18,0.401,F2V
7.73,13.47,0.401,F2V
8.89,5.21,0.402,F2V
8.47,7.03,0.402,F2V
8.62,7.19,0.402,F2V
8.52,6.51,0.403,F2V
9.21,7.62,0.404,F2V
9.8,5.68,0.406,F2V
9.59,3.26,0.407,F2V
10.08,4.62,0.407,F2V
7.59,9.46,0.407,F2V
8.7,5.26,0.408,F2V
8.78,4.95,0.409,F2V
9.3,5.62,0.409,F2V
6.43,18.23,0.409,F2V
9.35,3.91,0.41,F2V
9.32,7.11,0.41,F2V
8.1,8.78,0.41,F2V
9.89,-0.24,0.411,F2V
8.81,5.16,0.411,F2V
8.3,5.23,0.411,F2V
8.23,6.55,0.412,F2V
9.32,1.37,0.415,F2V
9.6,2.62,0.415,F2V
10.23,4.02,0.417,F2V
9.71,7.35,0.417,F2V
9.87,4.92,0.418,F2V
9.82,5.66,0.418,F2V
7.6,11.98,0.418,F2V
10.14,3.22,0.42,F2V
9.28,4.26,0.424,F2V
8.16,7.89,0.424,F2V
10.21,3.81,0.425,F2V
9.56,6.83,0.425,F2V
8.42,7.13,0.425,F2V
8.88,1.24,0.428,F2V
8.67,5.3,0.428,F2V
9.67,4.54,0.43,F2V
8.87,8.34,0.43,F2V
8.49,5.91,0.431,F2V
9.64,6.1,0.432,F2V
8.87,2.8,0.434,F2V
9.45,4.4,0.434,F2V
7.93,7.28,0.436,F2V
10.26,2.84,0.439,F2V
9.3,4.14,0.439,F2V
8.75,4.39,0.44,F2V
9.02,10.31,0.44,F2V
7.33,10.92,0.444,F2V
8.69,6.86,0.445,F2V
8.78,10.08,0.447,F2V
9.39,4.39,0.448,F2V
8.68,9.91,0.45,F2V
9.8,3.68,0.455,F2V
7.57,12.21,0.456,F2V
9.72,1.62,0.458,F2V
9.65,7.05,0.46,F2V
9.27,8.65,0.465,F2V
8.64,2.54,0.467,F2V
9.43,1.52,0.47,F2V
9.66,3.53,0.47,F2V
9.74,8.76,0.476,F2V
9.87,4.11,0.503,F2V
9.04,1.4,0.692,F2V
7.8,2.95,1.099,F2V
5.35,38.35,0.395,F2V:var
8.12,7.3,0.389,F2V+...
8.8,6.35,0.325,F2Vs
5.92,23.46,0.302,F2Vw
8.07,7.35,0.419,F3/F5IV
6.75,8.41,0.444,F3/F5IV
7.9,5.91,0.469,F3/F5IV
6.2,23.87,0.404,F3/F5IV/V
8.32,5.34,0.448,F3/F5IV/V
8.49,6.95,0.456,F3/F5IV/V
10.12,4.68,0.459,F3/F5IV/V
8.95,3.48,0.475,F3/F5IV/V
7.66,7.77,0.486,F3/F5IV/V
9.14,2.38,0.495,F3/F5IV/V
10.04,3.37,0.506,F3/F5IV/V
6.66,15.06,0.372,F3/F5IV+...
8.71,6.98,0.4,F3/F5V
8.01,10.62,0.406,F3/F5V
10.39,-0.42,0.412,F3/F5V
8.06,12.82,0.413,F3/F5V
6.43,26.54,0.415,F3/F5V
9.5,7.14,0.423,F3/F5V
7.26,18.95,0.424,F3/F5V
9.6,5.72,0.425,F3/F5V
9.12,5.66,0.427,F3/F5V
8.38,6.5,0.43,F3/F5V
9.72,6.43,0.434,F3/F5V
8.1,10.83,0.436,F3/F5V
8.35,6.9,0.437,F3/F5V
9.88,1.6,0.444,F3/F5V
8.03,7.15,0.444,F3/F5V
8.56,8.48,0.444,F3/F5V
8.49,8.9,0.445,F3/F5V
9.26,4.77,0.448,F3/F5V
7.27,8.4,0.448,F3/F5V
8.73,10.31,0.455,F3/F5V
6.66,12.9,0.457,F3/F5V
5.24,45.85,0.459,F3/F5V
9.73,7.23,0.46,F3/F5V
10.2,-0.01,0.461,F3/F5V
8.61,5.44,0.468,F3/F5V
8.83,5.64,0.468,F3/F5V
9.04,4.32,0.47,F3/F5V
8.13,8.41,0.471,F3/F5V
8.42,4.44,0.472,F3/F5V
8.65,7.24,0.476,F3/F5V
9.4,6,0.478,F3/F5V
10.12,4.35,0.48,F3/F5V
9.33,6.77,0.48,F3/F5V
9.54,3.37,0.484,F3/F5V
9.04,7.23,0.489,F3/F5V
10.03,3.31,0.493,F3/F5V
7.86,10.19,0.498,F3/F5V
7.94,11.12,0.506,F3/F5V
7.59,7.6,0.508,F3/F5V
10.42,1.86,0.509,F3/F5V
9.38,3.38,0.511,F3/F5V
9.85,4.99,0.52,F3/F5V
9.67,2.19,0.524,F3/F5V
9.32,7.38,0.529,F3/F5V
9.99,3.69,0.532,F3/F5V
9.3,10.28,0.538,F3/F5V
9.82,4.88,1.18,F3/F5V
9.1,6.19,0.484,F3:V+...
7.11,0.41,0.738,F3Ib
8.05,3.38,0.431,F3II
7.66,5.42,0.463,F3II
4.66,42.35,0.333,F3III
8.25,4.25,0.38,F3III
6.78,9.06,0.451,F3III
8.21,4.39,0.373,F3III/IV
7.32,13.81,0.391,F3III/IV
8.86,9.06,0.395,F3III/IV
9.05,4.62,0.354,F3IV
8.38,6.59,0.357,F3IV
7.67,7.89,0.417,F3IV
7.8,7.65,0.445,F3IV
9.9,2.76,0.451,F3IV
9.62,4.27,0.454,F3IV
6.89,10.86,0.456,F3IV
7.92,5.38,0.459,F3IV
8.67,6.87,0.362,F3IV...
7.78,7.56,0.411,F3IV...
6.91,9.69,0.331,F3IV/V
9.32,6.62,0.379,F3IV/V
6.93,13.66,0.38,F3IV/V
7.94,9.03,0.392,F3IV/V
8.38,7.21,0.404,F3IV/V
7.78,6.49,0.417,F3IV/V
9.66,2.7,0.423,F3IV/V
7.11,16.01,0.423,F3IV/V
9.76,3.36,0.431,F3IV/V
9.06,6.15,0.438,F3IV/V
9.71,4.47,0.44,F3IV/V
8.96,4.04,0.446,F3IV/V
9.96,5.59,0.446,F3IV/V
8.33,5.08,0.448,F3IV/V
8.39,6.48,0.458,F3IV/V
8.85,3.15,0.463,F3IV/V
10.17,2.69,0.472,F3IV/V
9.19,4.22,0.485,F3IV/V
9.36,2.39,0.358,F3IV-V
7.42,10.16,0.362,F3IV-V
5.57,39.03,0.472,F3IV-V
7.23,14.56,0.33,F3V
8.38,2.79,0.362,F3V
9.22,6.86,0.368,F3V
9.09,5.75,0.379,F3V
6.46,20.47,0.386,F3V
8.52,7.42,0.39,F3V
8.51,6.98,0.391,F3V
8.95,4.78,0.392,F3V
8.44,5.38,0.397,F3V
8.84,2.79,0.4,F3V
8.95,6.12,0.4,F3V
7.86,10.67,0.4,F3V
9.15,5.29,0.402,F3V
7.34,7.68,0.402,F3V
8.62,2.7,0.403,F3V
8.98,6.05,0.403,F3V
8.41,5.14,0.405,F3V
7.21,14.49,0.406,F3V
7.94,13.98,0.407,F3V
8.34,4.31,0.409,F3V
8.84,8.04,0.412,F3V
5.42,14.57,0.414,F3V
9,5.47,0.415,F3V
8.7,9.68,0.415,F3V
7.72,8.2,0.416,F3V
8.83,3.99,0.417,F3V
8.92,4.33,0.417,F3V
9.1,7.46,0.417,F3V
7.27,13.88,0.418,F3V
9.88,4.66,0.42,F3V
9.45,7.09,0.421,F3V
8.08,12.7,0.421,F3V
7.18,18.21,0.421,F3V
9.56,4.72,0.422,F3V
8.82,7.2,0.422,F3V
7.91,7.61,0.423,F3V
7.3,14.86,0.423,F3V
9.15,8.21,0.424,F3V
7.26,12.38,0.424,F3V
6.39,24.65,0.424,F3V
8.15,6.15,0.425,F3V
8.56,8.24,0.425,F3V
8.83,6.12,0.427,F3V
8.7,10.52,0.427,F3V
9.95,1.95,0.428,F3V
8.27,3.85,0.428,F3V
9.68,7.3,0.428,F3V
8.99,8.05,0.428,F3V
8.08,5.31,0.43,F3V
7.57,10.89,0.43,F3V
8.65,6.41,0.431,F3V
9.26,3.98,0.433,F3V
8.69,7.18,0.433,F3V
8.14,8.12,0.433,F3V
9.84,5.02,0.434,F3V
9.77,6.98,0.434,F3V
8.45,7.37,0.435,F3V
8.6,8.29,0.435,F3V
8.28,9.62,0.435,F3V
9.55,6.26,0.436,F3V
8.31,6.85,0.436,F3V
9.81,3.85,0.437,F3V
8.46,7.55,0.438,F3V
9.98,0.82,0.439,F3V
9.44,5.68,0.439,F3V
8.91,5.84,0.439,F3V
6.44,13.43,0.439,F3V
9.52,3.67,0.44,F3V
9.09,4.26,0.44,F3V
8.44,6.52,0.44,F3V
8.78,7.72,0.44,F3V
8.36,5.61,0.441,F3V
9.47,2.76,0.442,F3V
8.76,8.52,0.442,F3V
7.44,6.1,0.443,F3V
9.39,6.28,0.443,F3V
8.89,6.9,0.443,F3V
9.84,8.87,0.443,F3V
8.01,6.81,0.445,F3V
8.71,8.4,0.445,F3V
8.56,4.13,0.446,F3V
8.16,6.42,0.446,F3V
8.51,6.45,0.446,F3V
9.76,6.53,0.446,F3V
8.5,6.69,0.447,F3V
7.88,14.56,0.447,F3V
8.6,5.09,0.448,F3V
9.16,7.72,0.448,F3V
9.75,4.55,0.45,F3V
8.91,7.58,0.45,F3V
8.54,10.18,0.45,F3V
9.51,5.84,0.451,F3V
8.71,5.42,0.452,F3V
9.19,3.89,0.453,F3V
8.88,7.36,0.453,F3V
8.86,8.88,0.455,F3V
9.72,-1.95,0.456,F3V
9.14,6.73,0.456,F3V
8.13,9.63,0.456,F3V
8.42,12.93,0.456,F3V
7.8,9.31,0.458,F3V
9.39,5.2,0.459,F3V
8.5,5.87,0.46,F3V
8.81,9.74,0.46,F3V
8.25,6.04,0.462,F3V
8.99,1.64,0.463,F3V
9.74,3.78,0.463,F3V
8.63,9.73,0.463,F3V
8.58,11.7,0.463,F3V
9.83,5.35,0.465,F3V
9.2,5.56,0.466,F3V
9.79,-0.45,0.471,F3V
9.12,4.61,0.471,F3V
10.15,5.24,0.471,F3V
8.73,6.27,0.471,F3V
9.34,6.72,0.471,F3V
8.65,6.86,0.471,F3V
7.63,16.91,0.471,F3V
7.88,5.03,0.473,F3V
8.48,11.58,0.473,F3V
7.46,10.98,0.475,F3V
9.38,5.23,0.478,F3V
8.35,6.55,0.478,F3V
9.46,7.27,0.478,F3V
8.17,10.92,0.478,F3V
8.83,5.7,0.479,F3V
9.32,5.98,0.48,F3V
8.02,7,0.48,F3V
8.98,8.11,0.48,F3V
8.6,11.16,0.481,F3V
9.7,2.87,0.482,F3V
9.29,6.99,0.483,F3V
8.68,5.87,0.485,F3V
9.78,8.66,0.485,F3V
8.56,5.38,0.486,F3V
8.15,7.16,0.486,F3V
9.76,5.27,0.487,F3V
9.11,3.53,0.489,F3V
10.04,1.74,0.492,F3V
9.52,2.45,0.497,F3V
9.89,3.78,0.499,F3V
8.79,8.7,0.5,F3V
10.28,6.34,0.503,F3V
8.27,6.09,0.511,F3V
9.8,1.42,0.515,F3V
9.7,1.43,0.552,F3V
5.36,7.94,1.16,F3V...
9.76,3.56,0.468,F3Vp...
8.88,8.42,0.409,F3Vws
9.13,-1.41,0.887,F4Iab:
6.98,-0.14,0.918,F4Iab:
8.85,0.64,0.885,F4II
5.64,18.28,0.42,F4II-III
8.1,6.8,0.417,F4IV
8.62,2.25,0.45,F4IV
8.72,6.36,0.41,F4IVws
8.4,5.52,0.398,F4V
5.92,22.33,0.407,F4V
8.25,7.61,0.416,F4V
8.92,0.31,0.457,F4V
9,5.6,0.457,F4V
6.36,17.34,0.457,F4V
7.6,17.45,0.458,F4V
6.27,12.41,0.462,F4V
9.07,10.32,0.48,F4V
6.35,21.87,0.383,F4V...
8.25,10.55,0.415,F5/F6IV/V
6.15,24.2,0.448,F5/F6IV/V
10.48,6.16,0.506,F5/F6IV/V
9.52,5.5,0.373,F5/F6V
7.47,11.36,0.436,F5/F6V
7.71,14.85,0.446,F5/F6V
7.78,9.33,0.459,F5/F6V
9.95,6.12,0.476,F5/F6V
7.99,14.07,0.486,F5/F6V
7.5,8.63,0.488,F5/F6V
8.96,8.71,0.488,F5/F6V
10.03,3.85,0.49,F5/F6V
6.35,16.82,0.493,F5/F6V
9.6,1.52,0.496,F5/F6V
7.2,13.54,0.498,F5/F6V
8.75,4.47,0.505,F5/F6V
10.14,2.5,0.516,F5/F6V
9.8,3.03,0.524,F5/F6V
9.52,3.09,0.529,F5/F6V
8.78,11.36,0.529,F5/F6V
10.35,-0.37,0.546,F5/F6V
9.16,6.17,0.546,F5/F6V
9.22,6.94,0.55,F5/F6V
10.21,1.22,0.586,F5/F6V
9.5,3.01,0.645,F5/F6V
7.31,1.61,1.22,F5Ia
6.88,1.57,0.83,F5Iab
7.06,1.15,0.63,F5Ib-II
5.16,20.42,0.442,F5III
6.18,13.01,0.447,F5III
7.73,8.67,0.461,F5III
6.06,11.89,0.446,F5III/IV
7.35,7.19,0.501,F5III/IV
5.55,9.4,0.398,F5III+...
7.8,0.91,0.635,F5IIvar
6.23,23.87,0.398,F5IV
4.83,35.33,0.421,F5IV
7.37,11.46,0.422,F5IV
5.94,17.97,0.444,F5IV
7.57,14.72,0.453,F5IV
7.53,11.79,0.455,F5IV
7.14,10.32,0.464,F5IV
6.54,14.04,0.468,F5IV
8.39,10.25,0.469,F5IV
7.81,8.58,0.481,F5IV
8.49,4.37,0.491,F5IV
9.29,4.05,0.511,F5IV
8.11,5.65,0.52,F5IV
6.62,3.51,0.545,F5IV
9.4,9.43,0.551,F5IV
9.16,5.85,0.409,F5IV/V
8.9,8.08,0.424,F5IV/V
8.38,5.71,0.427,F5IV/V
8.65,7.78,0.43,F5IV/V
7.11,8.6,0.433,F5IV/V
8.68,5.65,0.436,F5IV/V
9.5,5.02,0.439,F5IV/V
9.57,3.55,0.448,F5IV/V
8.48,6.14,0.451,F5IV/V
9.11,7.26,0.458,F5IV/V
8.99,3.23,0.46,F5IV/V
6.66,21.62,0.462,F5IV/V
9.12,5.1,0.463,F5IV/V
7.48,7.51,0.466,F5IV/V
6.81,12.5,0.471,F5IV/V
8.74,3.71,0.473,F5IV/V
8.89,5.95,0.476,F5IV/V
7.45,10.64,0.48,F5IV/V
8.38,6.8,0.494,F5IV/V
7.64,9.35,0.5,F5IV/V
9.88,7.35,0.509,F5IV/V
7.56,11.92,0.419,F5IV-V
7.43,16.35,0.482,F5IV-V
10.19,3.9,0.37,F5V
10.16,5.68,0.393,F5V
10.24,1.08,0.409,F5V
8.13,12.31,0.414,F5V
8.58,10.44,0.419,F5V
5.96,22.42,0.419,F5V
9.21,7.87,0.423,F5V
9.32,7.88,0.423,F5V
8.37,11.18,0.428,F5V
5.7,22.79,0.428,F5V
8.78,6.93,0.429,F5V
8.78,6.96,0.432,F5V
8.47,9.52,0.433,F5V
8.03,7.47,0.435,F5V
8.55,12.6,0.435,F5V
10.13,5.6,0.436,F5V
9.22,8.43,0.441,F5V
9.04,5.44,0.443,F5V
9.52,9.2,0.444,F5V
9.91,2.79,0.446,F5V
7.81,6.35,0.446,F5V
7.28,11.96,0.446,F5V
8.47,23.55,0.446,F5V
6.86,25.74,0.447,F5V
8.25,9.81,0.448,F5V
8.62,11.01,0.448,F5V
5.14,41.01,0.448,F5V
7.81,7.56,0.449,F5V
8.6,8.29,0.45,F5V
9.17,5.44,0.452,F5V
7.69,7.93,0.453,F5V
8.09,8.42,0.453,F5V
8.36,10.72,0.453,F5V
9.32,6.33,0.454,F5V
9.23,6.47,0.455,F5V
8.88,6.88,0.455,F5V
9.67,4.14,0.457,F5V
9.17,5.21,0.458,F5V
10.1,4.33,0.46,F5V
8.76,8.67,0.46,F5V
9.11,7.33,0.461,F5V
8.41,8.49,0.461,F5V
8.08,13.44,0.461,F5V
7.5,13.52,0.461,F5V
8.72,4.76,0.462,F5V
9.14,6.64,0.462,F5V
8.57,9.21,0.463,F5V
8.47,9.69,0.463,F5V
8.68,10.95,0.463,F5V
7.06,20.63,0.463,F5V
8.41,8.94,0.464,F5V
8.53,9.21,0.464,F5V
8.98,8.15,0.465,F5V
9.25,9.57,0.465,F5V
8.23,10,0.465,F5V
7.62,13.2,0.465,F5V
7.08,20.37,0.466,F5V
8.13,8.92,0.468,F5V
8.16,13.68,0.468,F5V
6.77,23.97,0.468,F5V
8.5,7.31,0.469,F5V
8.5,7.35,0.469,F5V
9.04,4.73,0.47,F5V
8.91,5.94,0.47,F5V
9.07,6.14,0.47,F5V
8.8,9.45,0.47,F5V
7.98,10.91,0.47,F5V
7.2,14.41,0.47,F5V
9.1,8.39,0.471,F5V
8.32,9.29,0.471,F5V
8.64,10.3,0.471,F5V
9.55,4.78,0.473,F5V
7.16,19.52,0.473,F5V
8.78,4.9,0.474,F5V
9.67,6.27,0.474,F5V
7.99,5.68,0.475,F5V
7.97,14.04,0.475,F5V
9.73,2.7,0.476,F5V
8.64,8.57,0.476,F5V
8.87,9.11,0.476,F5V
7.88,11.15,0.476,F5V
8.28,11.59,0.476,F5V
9.88,4.15,0.478,F5V
8.23,9.13,0.478,F5V
6.81,12.44,0.48,F5V
8.97,6.02,0.481,F5V
8.84,8.59,0.481,F5V
8.45,10.91,0.481,F5V
7.59,12.66,0.481,F5V
9.08,5.23,0.482,F5V
8.98,4.23,0.483,F5V
9.06,5.51,0.483,F5V
9.26,6.38,0.483,F5V
8.96,7.19,0.483,F5V
8.37,7.86,0.485,F5V
7.84,10.36,0.485,F5V
8.41,3.88,0.486,F5V
4.89,52.94,0.487,F5V
9.33,1.86,0.488,F5V
9.07,5.36,0.488,F5V
8.15,12.28,0.488,F5V
8.11,13.43,0.488,F5V
9.63,4.46,0.489,F5V
8.68,6.06,0.49,F5V
9.04,8.25,0.49,F5V
9.05,4.72,0.491,F5V
9.47,5.75,0.491,F5V
9.67,6.22,0.491,F5V
8.97,7.11,0.491,F5V
7.63,13.46,0.491,F5V
9.36,4.65,0.493,F5V
8.75,5.78,0.493,F5V
8.76,9.46,0.494,F5V
6.95,12.17,0.494,F5V
8.99,8.91,0.495,F5V
8.92,11.51,0.495,F5V
9.37,8.54,0.496,F5V
9.24,3.75,0.497,F5V
9.9,4.21,0.498,F5V
9.9,3.39,0.499,F5V
8.2,7.55,0.499,F5V
8.92,8.17,0.499,F5V
8.75,13.17,0.499,F5V
9.46,7.59,0.5,F5V
8.2,9.41,0.5,F5V
8.34,9.63,0.5,F5V
7.1,17.88,0.5,F5V
8.3,10.9,0.501,F5V
8.2,12.24,0.501,F5V
8.91,3.28,0.502,F5V
8.65,7.85,0.502,F5V
8.82,8.12,0.502,F5V
8.47,4.12,0.503,F5V
9.27,5.77,0.503,F5V
8.96,5.89,0.503,F5V
10.13,6.79,0.503,F5V
9.16,7.35,0.504,F5V
7.85,10.66,0.505,F5V
9.9,4.83,0.506,F5V
7.55,9.86,0.506,F5V
8.76,4.56,0.508,F5V
9.27,5.02,0.508,F5V
9.35,5.59,0.508,F5V
8.97,5.62,0.508,F5V
9.23,6.04,0.508,F5V
8.44,9.67,0.508,F5V
9.63,5.96,0.509,F5V
9.33,4.57,0.51,F5V
9.32,4.82,0.511,F5V
8.48,9.21,0.511,F5V
9.68,5.36,0.513,F5V
9.39,5.83,0.513,F5V
8.95,7.26,0.513,F5V
8.67,7.85,0.513,F5V
8.23,10.79,0.513,F5V
9.22,8.43,0.514,F5V
8.6,5.67,0.515,F5V
9.05,9,0.516,F5V
8.05,7.49,0.518,F5V
8.75,9.61,0.518,F5V
10.14,5.49,0.52,F5V
9.65,5.77,0.52,F5V
9.69,5.6,0.521,F5V
8.51,6.2,0.521,F5V
9.03,5.83,0.522,F5V
8.87,5.03,0.523,F5V
8.56,8.5,0.524,F5V
9.19,11.87,0.525,F5V
9.13,6.73,0.526,F5V
9.83,5.65,0.528,F5V
8.68,7.89,0.529,F5V
9.48,5.52,0.53,F5V
8.41,13.02,0.53,F5V
9.33,5.81,0.531,F5V
9.67,1.73,0.532,F5V
9.15,5.75,0.537,F5V
8.82,3.49,0.541,F5V
9.17,5.19,0.546,F5V
7.7,9.52,0.559,F5V
8.18,14.75,0.559,F5V
10.18,0.77,0.58,F5V
9.7,2.1,0.418,F5V:
5.75,26.83,0.443,F5V+...
6.27,13.84,0.44,F5Vs
9.3,10.02,0.449,F5Vw...
9.7,1.66,0.479,F6/F7IV
9.58,4.59,0.5,F6/F7IV
10.28,6.72,0.405,F6/F7IV/V
8.75,7.24,0.487,F6/F7V
9.86,3.04,0.495,F6/F7V
9.73,7.56,0.501,F6/F7V
7.56,19.48,0.505,F6/F7V
9.24,-1.2,0.506,F6/F7V
8.81,5.55,0.511,F6/F7V
10,5.68,0.512,F6/F7V
9.99,3.91,0.515,F6/F7V
9.78,7.92,0.515,F6/F7V
9.61,7.95,0.516,F6/F7V
8.61,6.53,0.52,F6/F7V
6.25,16.16,0.526,F6/F7V
7.73,17.99,0.527,F6/F7V
8.36,11.81,0.531,F6/F7V
9.97,5.71,0.54,F6/F7V
10.27,9.49,0.542,F6/F7V
7.96,5.81,0.544,F6/F7V
10.08,5.34,0.548,F6/F7V
9.87,6.49,0.551,F6/F7V
8.77,8.12,0.551,F6/F7V
8.23,5.79,0.571,F6/F7V
9.48,7.02,0.578,F6/F7V
9.71,5.63,0.595,F6/F7V
8.83,5.72,0.6,F6/F7V
8.74,10.58,0.524,F6/F7Vw...
7.79,0.82,0.883,F6Ib
9.93,-0.02,1.054,F6Ib-G2Ib
7.07,9.28,0.483,F6III
6.9,8.73,0.508,F6III
9.06,4.72,0.43,F6IV
7.74,14.27,0.47,F6IV
4.25,48.94,0.48,F6IV
3.42,50.87,0.488,F6IV
9.23,1.69,0.489,F6IV
8.82,4.36,0.528,F6IV
10.01,3.08,0.537,F6IV
7.72,7.38,0.542,F6IV
7.36,22.16,0.555,F6IV
8.32,3.16,0.592,F6IV
8.09,8.59,0.454,F6IV/V
9.28,9.48,0.49,F6IV/V
9.36,2.07,0.502,F6IV/V
8.27,7.77,0.517,F6IV/V
8.44,5.04,0.556,F6IV/V
9.92,2.35,0.513,F6IV:
7.03,16.53,0.415,F6V
7.27,15.44,0.418,F6V
9.6,7.75,0.446,F6V
7.22,17.23,0.448,F6V
6.33,17.15,0.461,F6V
5.51,27.61,0.461,F6V
9.7,2.43,0.464,F6V
7.47,15.08,0.468,F6V
7.57,18.03,0.468,F6V
8.12,7.78,0.473,F6V
7.34,19.39,0.473,F6V
9.49,8.31,0.476,F6V
7.21,21.66,0.477,F6V
7.64,11.63,0.479,F6V
8.19,10.14,0.48,F6V
9.62,5.84,0.481,F6V
9.15,10.22,0.483,F6V
8.11,14.91,0.484,F6V
7.26,22.69,0.484,F6V
9.74,6.25,0.486,F6V
7.86,13.73,0.487,F6V
8.29,13.14,0.488,F6V
8.59,10.76,0.489,F6V
5.82,34.19,0.489,F6V
8.24,12.91,0.491,F6V
7.6,9.44,0.492,F6V
7.87,15.71,0.492,F6V
8.65,6.37,0.493,F6V
7.31,14.28,0.493,F6V
8.9,4.81,0.495,F6V
7.41,12.46,0.496,F6V
9.68,5.7,0.497,F6V
9.4,6.64,0.498,F6V
9.65,9.88,0.499,F6V
9.95,4.01,0.5,F6V
6.73,18.77,0.5,F6V
8.32,7.95,0.501,F6V
8.1,8.06,0.501,F6V
8.1,11.96,0.501,F6V
8.8,8.76,0.502,F6V
9.68,9.53,0.502,F6V
8.75,12.49,0.502,F6V
9.78,-0.95,0.504,F6V
9.15,5.83,0.504,F6V
9.4,7.39,0.506,F6V
7.14,9.31,0.506,F6V
9.37,6.18,0.507,F6V
8.94,8.68,0.507,F6V
7.92,12.64,0.508,F6V
7.07,18.84,0.508,F6V
7.42,15.9,0.51,F6V
8.8,5.85,0.511,F6V
9.88,6.97,0.512,F6V
9.85,2.67,0.513,F6V
9.06,4.63,0.513,F6V
8.23,6.14,0.513,F6V
9.43,6.64,0.513,F6V
9.13,7.15,0.513,F6V
9.28,9.19,0.513,F6V
7.15,14.45,0.513,F6V
9.59,8.53,0.515,F6V
5.38,24.59,0.515,F6V
7.58,13.76,0.516,F6V
8.84,8.87,0.517,F6V
8.85,8.01,0.518,F6V
9.64,5.79,0.519,F6V
9.42,6.37,0.519,F6V
9.44,9.74,0.519,F6V
8.24,11.53,0.52,F6V
9.91,2.9,0.521,F6V
9.37,6.86,0.521,F6V
8.16,16.01,0.521,F6V
6.37,36.89,0.523,F6V
8.87,5.6,0.524,F6V
9.49,7.26,0.524,F6V
8.3,11.28,0.524,F6V
9.06,9.25,0.525,F6V
9.85,4.6,0.526,F6V
9.27,5.5,0.528,F6V
8.49,8.41,0.528,F6V
8.68,9.94,0.528,F6V
9.48,4.5,0.529,F6V
9.9,5.53,0.53,F6V
9.39,7.34,0.53,F6V
9.21,3.97,0.533,F6V
8.76,12.01,0.534,F6V
9.8,5.9,0.536,F6V
8.29,9.15,0.538,F6V
9.33,5.13,0.539,F6V
9.41,8.73,0.539,F6V
7.43,10.61,0.539,F6V
8.83,7.54,0.54,F6V
7.68,11.21,0.54,F6V
9.07,6.72,0.543,F6V
8.88,11.6,0.543,F6V
8.78,2.9,0.546,F6V
8.6,6.59,0.548,F6V
9.32,4.32,0.549,F6V
8.99,6.99,0.549,F6V
9.6,3.57,0.552,F6V
7.87,19.35,0.552,F6V
9.62,5.34,0.553,F6V
9.17,5.45,0.558,F6V
9.4,8.99,0.559,F6V
9.7,1.95,0.56,F6V
9.36,5.16,0.56,F6V
8.99,3.94,0.561,F6V
8.41,6.58,0.563,F6V
5.83,12.47,0.569,F6V
8.78,3.5,0.576,F6V
9.21,2.88,0.577,F6V
9.69,10.02,0.578,F6V
9.57,3.59,0.579,F6V
9.46,7.63,0.582,F6V
10.22,4.13,0.591,F6V
8.1,13.04,0.595,F6V
7.8,3.77,0.559,F6V...
6.38,30.95,0.551,F6V:
6.05,27.51,0.447,F6Vawvar
6.43,12.71,0.514,F7.5IV-V
8.06,15.49,0.611,F7/8V(p)
9.83,4.59,0.559,F7/F8IV
9.88,10.53,0.545,F7/F8IV/V
